dataPlatform,schema,dataset,class,field,sqlDataType,sourceDataType,sourceEntityType,sourceNullable,columnSize,definedBy,ordinalPosition,pk,pii,classification,nullPercentage,refersTo,V2
CRM_DB,public,activity,activity,activity_date,93,timestamp,Column,TRUE,29,DATETIME,3,,,,,,
CRM_DB,public,activity,activity,activity_id,-5,int8,Column,FALSE,19,INTEGER,2,true,,,,,
CRM_DB,public,activity,activity,activity_note,12,varchar,Column,TRUE,2000,STRING,4,,true,NOTES,,,
CRM_DB,public,activity,activity,customer_id,-5,int8,Column,TRUE,19,INTEGER,1,,,,,public.customer.customer_id,
CRM_DB,public,address,address,address_id,-5,int8,Column,FALSE,19,INTEGER,2,true,true,ADDRESS,,,
CRM_DB,public,address,address,city,12,varchar,Column,TRUE,200,STRING,5,,true,CITY,,,
CRM_DB,public,address,address,country,12,varchar,Column,TRUE,200,STRING,8,,,COUNTRY,,,
CRM_DB,public,address,address,customer_id,-5,int8,Column,TRUE,19,INTEGER,1,,,,,public.customer.customer_id,
CRM_DB,public,address,address,state,12,varchar,Column,TRUE,200,STRING,7,,,STATE,,,
CRM_DB,public,address,address,street_address_1,12,varchar,Column,TRUE,200,STRING,3,,true,STREET,,,
CRM_DB,public,address,address,street_address_2,12,varchar,Column,TRUE,200,STRING,4,,true,STREET,1.0,,
CRM_DB,public,address,address,zip,12,varchar,Column,TRUE,200,STRING,6,,true,POSTAL_CODE,,,
CRM_DB,public,case_note,case_note,case_id,-5,int8,Column,TRUE,19,INTEGER,1,,,,,public.cases.case_id,
CRM_DB,public,case_note,case_note,note_date,93,timestamp,Column,TRUE,29,DATETIME,3,,,,,,
CRM_DB,public,case_note,case_note,note_id,-5,int8,Column,FALSE,19,INTEGER,2,true,,,,,
CRM_DB,public,case_note,case_note,note_text,12,varchar,Column,TRUE,3000,STRING,4,,true,NOTES,,,
CRM_DB,public,cases,cases,activity_id,-5,int8,Column,TRUE,19,INTEGER,1,,,,,public.activity.activity_id,
CRM_DB,public,cases,cases,case_date,93,timestamp,Column,TRUE,29,DATETIME,3,,,,,,
CRM_DB,public,cases,cases,case_id,-5,int8,Column,FALSE,19,INTEGER,2,true,,,,,
CRM_DB,public,cases,cases,case_type,12,varchar,Column,TRUE,200,STRING,4,,,,,,
CRM_DB,public,cases,cases,status,12,varchar,Column,TRUE,200,STRING,5,,,,,,
CRM_DB,public,contract,contract,associated_line,12,varchar,Column,TRUE,200,STRING,4,,true,TELEPHONE_NUMBER,,,
CRM_DB,public,contract,contract,associated_line_fmt,12,varchar,Column,TRUE,200,STRING,8,,true,TELEPHONE_NUMBER,,,
CRM_DB,public,contract,contract,contract_description,12,varchar,Column,TRUE,200,STRING,5,,,,,,
CRM_DB,public,contract,contract,contract_id,-5,int8,Column,FALSE,19,INTEGER,2,true,,,,,
CRM_DB,public,contract,contract,contract_ref_id,-5,int8,Column,TRUE,19,INTEGER,3,,,,,,
CRM_DB,public,contract,contract,customer_id,-5,int8,Column,TRUE,19,INTEGER,1,,,,,public.customer.customer_id,
